slug,title,category,service_nature,family,authority,authority_confidence,scope_split_or_overlap,workflow_through_closeout,current_capability,current_classification,live_route,source_schema,default_disciplines,remaining_human_or_external_work,as_deployed_staff_effort_issue,as_deployed_staff_effort_full,as_deployed_zero_touch_issue,as_deployed_zero_touch_full,as_deployed_elapsed_reduction,tomorrow_use,tomorrow_staff_effort_issue,tomorrow_staff_effort_full,tomorrow_zero_touch_issue,tomorrow_zero_touch_full,tomorrow_elapsed_reduction,software_only_implementation,software_effort_models,software_staff_effort_issue,software_staff_effort_full,software_zero_touch_issue,software_zero_touch_full,software_elapsed_reduction,remaining_limits,missing_shared_implementation,impact_volume,impact_effort_and_delay,confidence,official_source_ids,official_source_urls,test_evidence
payday-lender-permit,Payday Lender Permit,businesses,permit/license or conditional exemption,Business/regulatory licenses,Revenue Division,Medium where official family source applies; otherwise catalog attribution only,Local and state financial licensing requirements; do not infer approval from basic business fields.,Identify licensing authority and scope -> identity/site/credential/background or safety checks -> external recommendations -> fee/license -> renewals/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/payday-lender-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/businesses/payday-lender-permit.json,none,Regulator and external agencies determine eligibility; inspections/hearings depend on license.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Per-license rule packs; license/background registries; renewal events and agency handoffs.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Catalog labels are not evidence of City authority; OLCC, county and state permissions remain separate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O40;O42;O43,https://multco.us/services/food-cart-license;https://www.portland.gov/ppd/cannabis;https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,evidence/catalog-verification.json#payday-lender-permit
pcef-grant,Portland Clean Energy Fund Grant,grants,funding application,Grants,BPS / PCEF,Medium where official family source applies; otherwise catalog attribution only,"Funding round, merits selection, agreement, disbursement and performance reporting.",Program intake window -> eligibility -> merits/scoring/budget selection -> award agreement -> disbursement -> evidence/reporting/closeout,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/pcef-grant,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/grants/pcef-grant.json,none,"Program panel and funder decisions; recipient work, inspections/audit as required.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"Program-specific application/scoring support, budget encumbrance, agreements, reporting and finance adapter.",unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",Funding availability and selection are not code-compliance permit decisions; current program intake status unverified.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O46,https://www.portland.gov/bes/grants-incentives,evidence/catalog-verification.json#pcef-grant
permanent-sign-permit,Permanent Sign Permit,permits,permit/license or conditional exemption,Signs/awnings,Portland PP&D; PBOT for ROW/portable-sign compliance,Medium where official family source applies; otherwise catalog attribution only,Permanent geometry/structure/illumination route; overlaps broad sign-permit.,Exempt/registration/permanent classification -> site sign inventory and geometry -> zoning/structural/electrical checks -> issue/register when required -> installation inspection/removal at expiry,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/permanent-sign-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/permanent-sign-permit.json,none,Applicant drawings and measurements; engineer/electrician where required; inspector.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Current Title 32 criteria; façade/sign inventory; structural attachment; permit-type-specific fees and electrical linkage.,M2,Unknown empirically; conditional budgets M2,Unknown empirically; conditional budgets M2,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Portable registration ended July 25, 2026; placement compliance remains; historic or land-use conditions may require review.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O31;O32,https://www.portland.gov/ppd/sign-permits;https://www.portland.gov/transportation/permitting/portable-signs-boards,evidence/catalog-verification.json#permanent-sign-permit
personal-income-tax,Personal Income Tax Filing,business-filings,tax/account transaction,Tax filings/accounts,Portland Revenue Division for applicable City/County/Metro program; verify tax-year scope,Medium where official family source applies; otherwise catalog attribution only,Applicable local/Metro/Multnomah tax programs and tax year; not federal/state general income tax.,Identify tax/account/period -> calculate or collect return -> validate schedules -> authorized filing/payment -> ledger/reconciliation -> amendments/refunds/audit,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/personal-income-tax,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/business-filings/personal-income-tax.json,none,"Taxpayer supplies truthful records; authority resolves audits, discretionary relief and contested assessments.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Tax-year rule engine; official account/filing API; exact rates and thresholds; signed declarations and payment ledger.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",A local application record is not a filed return or remitted tax; current-year coverage is unaudited.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O44,https://www.portland.gov/revenue,evidence/catalog-verification.json#personal-income-tax
picnic-reservation,Picnic Shelter Reservation,parks-recreation,reservation/use permission,Parks reservations/events,Portland Parks & Recreation,Medium where official family source applies; otherwise catalog attribution only,Shelter inventory/date/capacity and confirmed reservation/payment; live first page renders only.,Inventory/date selection -> eligibility/conflict/access/safety review -> agreement/deposit/payment -> confirmed booking -> event/use -> damage/deposit closeout,Public form schema/route implemented; original pipeline fixture reaches exception. Legacy conditional-schema exception reproduced; not proof first UI page cannot render No default discipline assignment; manual triage required,partial / exception in isolated validation,https://www.portlandpermits.org/apply/picnic-reservation,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/parks-recreation/picnic-reservation.json,none,Parks staff resolve special uses; users conduct events; maintenance/site checks remain.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Real inventory with atomic reservations; pricing/deposits/refunds; event checklists and asset work orders.,M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",A generic form without a reservation backend does not reserve a venue; eight schemas have incompatible condition shapes.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O28,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements,evidence/catalog-verification.json#picnic-reservation
plumbing-permit,Plumbing Permit,permits,permit/license or conditional exemption,Trades,PP&D,Medium where official family source applies; otherwise catalog attribution only,Fixture/minor no-plan-review scope versus medical-gas and other plan-required work.,Scope/contractor/jurisdiction -> plan-review eligibility -> drawings/review if required -> assessed payment -> official trade permit -> installation inspections/reinspection -> final,Public form schema/route implemented; original pipeline fixture reaches approved. No default discipline assignment; manual triage required Synthetic auto-approval demonstrated; eligibility unsafe; no official issuance,partial,https://www.portlandpermits.org/apply/plumbing-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/plumbing-permit.json,none,Applicant supplies scope and licenses; reviewers handle plan-required work; licensed installers and inspectors perform work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Canonical scope taxonomy; license registry; current fixture/equipment fees; DevHub issue adapter; inspection link.,M1;M2,Unknown empirically; conditional budgets M1;M2,Unknown empirically; conditional budgets M1;M2,Conditional 100% only eligible no-plan-review trade class; plan-required share unknown,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",No-plan-review and plan-review scopes differ; unknown licenses/site data must route to staff.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O02;O08;O09,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements,evidence/catalog-verification.json#plumbing-permit
police-alarm-permit,Police Alarm Permit,businesses,permit/license or conditional exemption,Business/regulatory licenses,Portland Police Bureau,Medium where official family source applies; otherwise catalog attribution only,"Alarm account/location, fees and false-alarm administration; official registry needed.",Identify licensing authority and scope -> identity/site/credential/background or safety checks -> external recommendations -> fee/license -> renewals/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/police-alarm-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/businesses/police-alarm-permit.json,none,Regulator and external agencies determine eligibility; inspections/hearings depend on license.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Per-license rule packs; license/background registries; renewal events and agency handoffs.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Catalog labels are not evidence of City authority; OLCC, county and state permissions remain separate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O40;O42;O43,https://multco.us/services/food-cart-license;https://www.portland.gov/ppd/cannabis;https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,evidence/catalog-verification.json#police-alarm-permit
portable-propane-permit,Portable Propane Device Permit,permits,permit/license or conditional exemption,Fire operations,Portland Fire & Rescue,Medium where official family source applies; otherwise catalog attribution only,"Cylinder/appliance quantity, separation, approved equipment and operation conditions.",Activity/hazard classification -> layout/equipment/safety plan -> fire review and required site inspection -> fee/permission -> monitored event/operation -> renewal or closeout,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/portable-propane-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/portable-propane-permit.json,none,"Fire officer judgment, safe operation, trained personnel and site checks remain.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"Hazard-specific checklists, capacity and separation rules, credential validation, inspection calendar, event/renewal records.",M3,Unknown empirically; conditional budgets M3,Unknown empirically; conditional budgets M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","One general fire form is not a universal approval criterion for propane, hot work, lasers or pyrotechnics.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O28;O29,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements;https://www.portland.gov/fire/permits-inspections/documents/30008an-annual-permit-public-special-events-0/download,evidence/catalog-verification.json#portable-propane-permit
portable-sign-registration,Portable Sign Registration (A-Board),permits,permit/license or conditional exemption,Signs/awnings,Portland PP&D; PBOT for ROW/portable-sign compliance,Medium where official family source applies; otherwise catalog attribution only,"Retire registration workflow: City removed portable-sign registration July 25, 2026; retain compliance guidance.",Exempt/registration/permanent classification -> site sign inventory and geometry -> zoning/structural/electrical checks -> issue/register when required -> installation inspection/removal at expiry,"Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required Registration requirement removed July 25, 2026; form should be retired/replaced with guidance",partial,https://www.portlandpermits.org/apply/portable-sign-registration,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/portable-sign-registration.json,none,Applicant drawings and measurements; engineer/electrician where required; inspector.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Current Title 32 criteria; façade/sign inventory; structural attachment; permit-type-specific fees and electrical linkage.,M2,Unknown empirically; conditional budgets M2,Unknown empirically; conditional budgets M2,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Portable registration ended July 25, 2026; placement compliance remains; historic or land-use conditions may require review.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O31;O32,https://www.portland.gov/ppd/sign-permits;https://www.portland.gov/transportation/permitting/portable-signs-boards,evidence/catalog-verification.json#portable-sign-registration
portable-storage-permit,Portable Storage Container Permit,transportation,permit/license or conditional exemption,Right-of-way construction/use,PBOT,Medium where official family source applies; otherwise catalog attribution only,"Container footprint, parking/traffic conflicts, dates and site restrictions.",Location/space/date -> traffic/access and utility conflict checks -> plans/insurance/bonds -> approvals/fees -> ROW permission -> field setup/work/inspections -> restoration and release,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/portable-storage-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/transportation/portable-storage-permit.json,none,Traffic/civil reviewer and field crews; utility owners and public-safety constraints.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Live street inventory/conflict calendar; detours/ADA routes; credentials/security; geospatial project graph; inspector and restoration ledger.,M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Parking-only reservations differ from lane/sidewalk closures, encroachments and excavation.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O25;O26;O27,https://www.portland.gov/transportation/permitting/temporary-street-use-permitting-tsup;https://www.portland.gov/transportation/permitting/apply-renew-or-change-temporary-street-use-permit;https://www.portland.gov/transportation/permitting/encroachment-permits,evidence/catalog-verification.json#portable-storage-permit
pothole-report,Pothole Report,reports,report/field service,Reports/field service,PBOT Maintenance,Medium where official family source applies; otherwise catalog attribution only,"Road ownership, triage, crew work and repair verification.",Receive location/evidence -> triage/jurisdiction/duplicate check -> dispatch -> investigation/physical work -> verify/close and notify,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/pothole-report,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/reports/pothole-report.json,none,"Investigators, responders or maintenance crews perform and verify the work.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"311/work-order integrations; asset and incident IDs; prioritization, duplicate matching and SLA/escalation.",unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","No outage, pothole or complaint is resolved merely because its form has been submitted.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02,https://www.portland.gov/ppd/submit-and-pay-application-permit-type,evidence/catalog-verification.json#pothole-report
pre-application-conference,Early Assistance / Pre-Application Conference Request,permits,information/consultation,Information/early assistance,PP&D,Medium where official family source applies; otherwise catalog attribution only,"Scheduling and coordinated advice, not a binding land-use or construction approval.",Identify property/project -> request/schedule -> data or staff advice -> response record,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/pre-application-conference,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/pre-application-conference.json,none,Staff consultation or current asset/model retrieval; applicant follows advice with actual applications.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Authoritative lookup/scheduling and response export; project link; distinguish estimates from capacity commitments.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","An information response or fee statement is not authorization to build, connect or operate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02;O35,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements,evidence/catalog-verification.json#pre-application-conference
programmatic-tree-permit,Programmatic Tree Permit,permits,permit/license or conditional exemption,Tree work,Portland PP&D tree permitting; associated bureaus/land-use authority as applicable,Medium where official family source applies; otherwise catalog attribution only,"Organization-wide approved work standards, monitoring and reporting; discretionary program conditions.",Ownership/street/private/heritage/development classification -> species/size/site -> exempt/Type A/Type B/special route -> inspection/notice/replanting conditions -> decision -> work -> replanting/compliance closeout,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/programmatic-tree-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/programmatic-tree-permit.json,none,"Arborist/site assessment, discretion and public process depend on path; physical work/replanting remain.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"Tree inventory, species/DBH and location evidence; hazard/photo review; adopted Title 11 criteria; notices, replacement and mitigation ledger.",M2;M3;M4,Unknown empirically; conditional budgets M2;M3;M4,Unknown empirically; conditional budgets M2;M3;M4,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Pruning exemptions and routine pruning differ from removal, heritage work and waivers.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O21;O22;O23;O24,https://www.portland.gov/ppd/tree-permits/do-i-need-tree-permit;https://www.portland.gov/code/11/40;https://www.portland.gov/ppd/tree-permits/removal-and-replanting-permits/do-i-need-permit-remove-trees-private-property;https://www.portland.gov/trees/treepermits/documents/street-tree-permit-application-non-removal/download,evidence/catalog-verification.json#programmatic-tree-permit
public-assembly-fire-permit,Public Assembly Fire Permit,permits,permit/license or conditional exemption,Fire operations,Portland Fire & Rescue,Medium where official family source applies; otherwise catalog attribution only,"Event capacity, exits, access, plans and required inspection/standby staff.",Activity/hazard classification -> layout/equipment/safety plan -> fire review and required site inspection -> fee/permission -> monitored event/operation -> renewal or closeout,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/public-assembly-fire-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/public-assembly-fire-permit.json,none,"Fire officer judgment, safe operation, trained personnel and site checks remain.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"Hazard-specific checklists, capacity and separation rules, credential validation, inspection calendar, event/renewal records.",M3,Unknown empirically; conditional budgets M3,Unknown empirically; conditional budgets M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","One general fire form is not a universal approval criterion for propane, hot work, lasers or pyrotechnics.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O28;O29,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements;https://www.portland.gov/fire/permits-inspections/documents/30008an-annual-permit-public-special-events-0/download,evidence/catalog-verification.json#public-assembly-fire-permit
