slug,title,category,new_technical_checks,full_compliance_supported,known_limit
contractor-registration-update,Contractor Registration Update,updates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
utility-service-transfer,Utility Service Transfer,updates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
backflow-prevention,Backflow Prevention / Cross-Connection Control,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
clean-river-rewards,Clean River Rewards — Stormwater Discount Registration,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
commercial-water-meter,Commercial Water Meter Sizing & Request,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fire-flow-request,Fire Flow Information Request,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
hydrant-permit,Hydrant Permit — Nonpotable Water Use,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
industrial-wastewater-permit,Industrial Wastewater Discharge Permit,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
residential-water-meter,Residential Water Meter Request,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-access-permit,Sewer Access Permit — TV Inspection / Cleaning,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-lateral-connection,UC Permit — Lateral Connection to Public Sewer,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-lateral-repair,UR Permit — Lateral Repair in Right-of-Way,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
stormwater-npdes-permit,NPDES Industrial Stormwater Permit,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
w6-fee-statement,W-6 Fee Statement Request,water-sewer,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
